Project ID,Transaction ID,2010 Census Tract,"Metro/Non-Metro, 2010 Census",Origination Year,Community Development Entity (CDE) Name,QLICI Amount,City,Standard_City,State,Standard_State,Zip Code,Purpose of Investment,QALICB Type,Multi-CDE,Multi-Tract QLICI
CA0502,1476,6019007902,Metropolitan,2014,CALIFORNIA STATEWIDE COMMUNITIES DEVELOPMENT CORPORATION,"$6,724,000.00 ",Coalinga,Coalinga,CA,California,93210,Real Estate – Construction/Permanent/Acquisition w/o Rehab – Commercial,RE,YES,NO
CA0502,1477,6019007902,Metropolitan,2014,CALIFORNIA STATEWIDE COMMUNITIES DEVELOPMENT CORPORATION,"$2,976,000.00 ",Coalinga,Coalinga,CA,California,93210,Real Estate – Construction/Permanent/Acquisition w/o Rehab – Commercial,RE,YES,NO
CA0502,1478,6019007902,Metropolitan,2014,Northern California Community Loan Fund,"$3,698,200.00 ",Coalinga,Coalinga,CA,California,93210,Real Estate – Construction/Permanent/Acquisition w/o Rehab – Commercial,SPE,YES,NO
CA0502,1479,6019007902,Metropolitan,2014,Northern California Community Loan Fund,"$1,636,800.00 ",Coalinga,Coalinga,CA,California,93210,Real Estate – Construction/Permanent/Acquisition w/o Rehab – Commercial,SPE,YES,NO
CA0503,1480,6089010100,Metropolitan,2014,CALIFORNIA STATEWIDE COMMUNITIES DEVELOPMENT CORPORATION,"$8,730,000.00 ",Redding,Redding,CA,California,96001,Real Estate – Construction/Permanent/Acquisition w/o Rehab – Commercial,RE,YES,NO
CA0503,1481,6089010100,Metropolitan,2014,Low Income Investment Fund,"$5,000,000.00 ",Redding,Redding,CA,California,96001,Real Estate–Rehabilitation–Commercial,SPE,YES,NO
CA0503,1482,6089010100,Metropolitan,2014,Low Income Investment Fund,"$1,124,800.00 ",Redding,Redding,CA,California,96001,Real Estate–Rehabilitation–Commercial,SPE,YES,NO
CA0503,1483,6089010100,Metropolitan,2014,Low Income Investment Fund,"$2,605,200.00 ",Redding,Redding,CA,California,96001,Real Estate–Rehabilitation–Commercial,SPE,YES,NO
CA0504,1484,6001403100,Metropolitan,2014,CALIFORNIA STATEWIDE COMMUNITIES DEVELOPMENT CORPORATION,"$3,237,850.00 ",Oakland,Oakland,CA,California,94607,Real Estate–Rehabilitation–Commercial,RE,YES,NO
CA0504,1485,6001403100,Metropolitan,2014,CALIFORNIA STATEWIDE COMMUNITIES DEVELOPMENT CORPORATION,"$3,447,150.00 ",Oakland,Oakland,CA,California,94607,Real Estate–Rehabilitation–Commercial,RE,YES,NO
CA0504,1486,6001403100,Metropolitan,2014,CALIFORNIA STATEWIDE COMMUNITIES DEVELOPMENT CORPORATION,"$3,015,000.00 ",Oakland,Oakland,CA,California,94607,Real Estate–Rehabilitation–Commercial,RE,YES,NO
CA0504,1487,6001403100,Metropolitan,2014,"Oakland Renaissance NMTC, Inc. A California Nonprofit Public Benefit Corporation","$882,163.00 ",Oakland,Oakland,CA,California,94607,Real Estate–Rehabilitation–Commercial,RE,YES,NO
CA0504,1488,6001403100,Metropolitan,2014,"Oakland Renaissance NMTC, Inc. A California Nonprofit Public Benefit Corporation","$411,061.00 ",Oakland,Oakland,CA,California,94607,Real Estate–Rehabilitation–Commercial,RE,YES,NO
CA0505,1489,6001409600,Metropolitan,2015,Northern California Community Loan Fund,"$5,753,550.00 ",Oakland,Oakland,CA,California,94621,Real Estate–Rehabilitation–Commercial,NRE,YES,NO
CA0505,1490,6001409600,Metropolitan,2014,Northern California Community Loan Fund,"$2,491,450.00 ",Oakland,Oakland,CA,California,94621,Real Estate–Rehabilitation–Commercial,NRE,YES,NO
CA0505,1491,6001409600,Metropolitan,2014,"USBCDE, LLC","$823,750.00 ",Oakland,Oakland,CA,California,94621,Real Estate–Rehabilitation–Commercial,SPE,YES,NO
CA0505,1492,6001409600,Metropolitan,2014,"USBCDE, LLC","$426,250.00 ",Oakland,Oakland,CA,California,94621,Real Estate–Rehabilitation–Commercial,SPE,YES,NO
CA0506,1493,6075017601,Metropolitan,2014,San Francisco Community Investment Fund,"$9,393,300.00 ",San Francisco,San Francisco,CA,California,94102,Business Financing,NRE,YES,NO
CA0506,1494,6075017601,Metropolitan,2014,San Francisco Community Investment Fund,"$3,769,200.00 ",San Francisco,San Francisco,CA,California,94102,Business Financing,NRE,YES,NO
CA0506,1495,6075017601,Metropolitan,2014,Clearinghouse Community Development Financial Institution,"$4,604,251.00 ",San Francisco,San Francisco,CA,California,94102,Real Estate–Rehabilitation–Commercial,RE,YES,NO
CA0506,1496,6075017601,Metropolitan,2014,Clearinghouse Community Development Financial Institution,"$1,275,749.00 ",San Francisco,San Francisco,CA,California,94102,Real Estate–Rehabilitation–Commercial,RE,YES,NO
